Age,Gender,Height_cm,Weight_kg,BMI,Nutrition_Status
7,Female,116,32.6,24.23,Overweight
7,Male,127,36.7,22.75,Overweight
10,Female,129,27.2,16.35,Overweight
3,Female,124,24.0,15.61,Overweight
4,Male,108,27.5,23.58,Overweight
3,Female,124,37.0,24.06,Overweight
6,Female,119,32.9,23.23,Overweight
12,Female,133,32.0,18.09,Overweight
9,Female,99,25.3,25.81,Overweight
9,Male,133,37.3,21.09,Overweight
8,Female,136,28.6,15.46,Overweight
8,Male,102,20.9,20.09,Overweight
7,Female,107,29.9,26.12,Overweight
3,Male,126,32.3,20.35,Overweight
12,Female,121,33.9,23.15,Overweight
4,Male,149,37.7,16.98,Overweight
3,Female,117,34.1,24.91,Overweight
5,Female,136,37.7,20.38,Overweight
10,Male,143,32.4,15.84,Overweight
3,Female,98,29.1,30.3,Overweight
5,Female,124,31.0,20.16,Overweight
8,Male,145,29.8,14.17,Overweight
10,Male,105,28.5,25.85,Overweight
9,Male,124,28.8,18.73,Overweight
3,Male,97,21.2,22.53,Overweight
3,Male,122,26.1,17.54,Overweight
10,Female,137,34.4,18.33,Overweight
11,Male,133,35.2,19.9,Overweight
8,Female,99,21.0,21.43,Overweight
10,Male,150,28.6,12.71,Overweight
3,Male,146,39.0,18.3,Overweight
5,Male,135,34.7,19.04,Overweight
11,Male,101,23.2,22.74,Overweight
6,Male,97,22.4,23.81,Overweight
9,Male,141,30.8,15.49,Overweight
10,Female,122,27.0,18.14,Overweight
9,Female,123,30.4,20.09,Overweight
9,Female,110,29.8,24.63,Overweight
4,Male,96,18.5,20.07,Overweight
11,Male,150,43.7,19.42,Overweight
8,Female,131,30.6,17.83,Overweight
12,Male,140,31.7,16.17,Overweight
4,Male,100,20.6,20.6,Overweight
7,Female,123,25.9,17.12,Overweight
9,Female,126,28.5,17.95,Overweight
11,Male,103,28.9,27.24,Overweight
7,Male,97,19.8,21.04,Overweight
4,Female,120,31.4,21.81,Overweight
4,Female,110,31.5,26.03,Overweight
6,Female,104,30.2,27.92,Overweight
11,Male,114,22.3,17.16,Overweight
5,Male,128,33.1,20.2,Overweight
10,Female,97,24.3,25.83,Overweight
8,Female,103,26.8,25.26,Overweight
6,Male,124,25.8,16.78,Overweight
3,Male,108,21.9,18.78,Overweight
9,Male,125,29.7,19.01,Overweight
10,Female,129,33.0,19.83,Overweight
3,Female,122,34.7,23.31,Overweight
10,Male,126,27.4,17.26,Overweight
10,Male,108,29.0,24.86,Overweight
3,Female,100,26.7,26.7,Overweight
8,Female,112,22.6,18.02,Overweight
4,Male,127,33.5,20.77,Overweight
7,Female,135,39.2,21.51,Overweight
4,Female,97,28.1,29.87,Overweight
5,Male,147,34.4,15.92,Overweight
12,Male,112,30.1,24.0,Overweight
10,Female,131,30.4,17.71,Overweight
11,Female,146,33.8,15.86,Overweight
4,Male,116,33.3,24.75,Overweight
7,Female,100,28.1,28.1,Overweight
6,Male,95,18.8,20.83,Overweight
7,Female,110,22.2,18.35,Overweight
4,Female,125,28.3,18.11,Overweight
9,Male,144,36.8,17.75,Overweight
6,Female,107,20.8,18.17,Overweight
10,Female,110,24.3,20.08,Overweight
7,Male,106,22.7,20.2,Overweight
7,Male,109,24.1,20.28,Overweight
4,Male,128,32.0,19.53,Overweight
3,Female,133,30.2,17.07,Overweight
9,Female,117,26.1,19.07,Overweight
8,Female,108,28.5,24.43,Overweight
9,Female,128,30.4,18.55,Overweight
11,Female,96,27.1,29.41,Overweight
4,Female,108,27.5,23.58,Overweight
3,Male,118,33.6,24.13,Overweight
5,Female,149,42.5,19.14,Overweight
7,Female,146,38.8,18.2,Overweight
7,Female,127,28.7,17.79,Overweight
10,Male,124,26.3,17.1,Overweight
12,Female,107,26.7,23.32,Overweight
4,Female,121,27.6,18.85,Overweight
3,Female,98,21.9,22.8,Overweight
12,Male,97,22.7,24.13,Overweight
4,Male,105,25.0,22.68,Overweight
3,Female,146,29.3,13.75,Overweight
7,Male,132,33.4,19.17,Overweight
6,Male,147,37.8,17.49,Overweight
3,Female,115,30.6,23.14,Overweight
7,Female,145,30.8,14.65,Overweight
10,Female,108,23.8,20.4,Overweight
3,Male,141,35.2,17.71,Overweight
10,Male,144,30.7,14.81,Overweight
8,Female,127,28.4,17.61,Overweight
8,Male,118,34.7,24.92,Overweight
10,Male,124,29.6,19.25,Overweight
9,Male,128,33.5,20.45,Overweight
8,Male,103,26.5,24.98,Overweight
8,Female,102,24.9,23.93,Overweight
12,Female,130,28.5,16.86,Overweight
11,Female,128,28.3,17.27,Overweight
11,Female,145,34.6,16.46,Overweight
5,Male,145,39.3,18.69,Overweight
6,Female,124,25.8,16.78,Overweight
4,Male,138,34.9,18.33,Overweight
7,Female,144,38.3,18.47,Overweight
10,Male,120,33.3,23.12,Overweight
9,Male,136,26.4,14.27,Overweight
6,Female,118,24.6,17.67,Overweight
10,Female,149,35.5,15.99,Overweight
7,Female,99,29.7,30.3,Overweight
12,Female,113,32.1,25.14,Overweight
9,Male,127,32.2,19.96,Overweight
11,Female,119,25.9,18.29,Overweight
8,Female,114,32.6,25.08,Overweight
3,Male,110,29.5,24.38,Overweight
4,Female,110,28.7,23.72,Overweight
4,Male,95,18.1,20.06,Overweight
4,Female,138,28.2,14.81,Overweight
7,Female,133,29.0,16.39,Overweight
8,Male,119,23.6,16.67,Overweight
7,Female,96,27.8,30.16,Overweight
11,Male,136,30.9,16.71,Overweight
4,Female,127,36.2,22.44,Overweight
8,Male,112,30.2,24.08,Overweight
4,Female,138,27.2,14.28,Overweight
6,Female,148,35.7,16.3,Overweight
10,Male,136,36.9,19.95,Overweight
4,Male,123,26.6,17.58,Overweight
4,Male,116,32.1,23.86,Overweight
8,Female,119,34.3,24.22,Overweight
6,Female,97,18.9,20.09,Overweight
6,Male,99,27.8,28.36,Overweight
4,Male,98,26.4,27.49,Overweight
11,Female,95,24.7,27.37,Overweight
3,Female,120,24.2,16.81,Overweight
7,Female,114,22.9,17.62,Overweight
11,Male,124,31.5,20.49,Overweight
5,Male,149,40.9,18.42,Overweight
9,Male,140,41.9,21.38,Overweight
12,Male,98,19.7,20.51,Overweight
6,Male,97,20.4,21.68,Overweight
6,Female,128,25.3,15.44,Overweight
4,Female,137,36.6,19.5,Overweight
9,Male,145,33.3,15.84,Overweight
7,Female,112,32.8,26.15,Overweight
7,Female,145,30.8,14.65,Overweight
8,Male,112,25.3,20.17,Overweight
4,Female,146,34.7,16.28,Overweight
12,Male,139,32.5,16.82,Overweight
10,Female,99,28.2,28.77,Overweight
6,Male,146,43.7,20.5,Overweight
8,Female,119,29.6,20.9,Overweight
4,Female,143,28.9,14.13,Overweight
9,Male,116,27.6,20.51,Overweight
7,Female,110,24.7,20.41,Overweight
10,Male,120,26.9,18.68,Overweight
12,Male,103,30.3,28.56,Overweight
10,Female,131,28.2,16.43,Overweight
9,Male,131,37.4,21.79,Overweight
10,Male,144,29.2,14.08,Overweight
7,Male,108,31.6,27.09,Overweight
7,Male,141,42.1,21.18,Overweight
4,Female,121,24.1,16.46,Overweight
10,Female,139,31.5,16.3,Overweight
9,Female,128,26.9,16.42,Overweight
5,Female,120,23.1,16.04,Overweight
3,Female,134,31.7,17.65,Overweight
11,Male,122,23.9,16.06,Overweight
7,Male,144,32.0,15.43,Overweight
3,Female,102,30.0,28.84,Overweight
4,Female,113,23.2,18.17,Overweight
5,Male,119,26.0,18.36,Overweight
9,Male,118,33.2,23.84,Overweight
4,Female,112,29.7,23.68,Overweight
10,Male,134,30.5,16.99,Overweight
3,Male,110,24.5,20.25,Overweight
3,Male,100,21.6,21.6,Overweight
5,Male,136,39.3,21.25,Overweight
6,Female,98,26.7,27.8,Overweight
10,Male,147,29.3,13.56,Overweight
9,Female,103,21.4,20.17,Overweight
3,Male,96,24.8,26.91,Overweight
9,Male,137,28.8,15.34,Overweight
12,Female,145,34.9,16.6,Overweight
10,Female,114,28.2,21.7,Overweight
10,Male,110,27.8,22.98,Overweight
3,Female,127,33.0,20.46,Overweight
6,Male,148,41.1,18.76,Overweight
12,Female,139,41.2,21.32,Overweight
9,Male,99,21.3,21.73,Overweight
3,Female,148,36.7,16.75,Overweight
6,Male,118,31.6,22.69,Overweight
6,Female,108,22.3,19.12,Overweight
4,Female,122,31.6,21.23,Overweight
3,Male,143,31.3,15.31,Overweight
11,Female,143,42.3,20.69,Overweight
9,Female,127,24.5,15.19,Overweight
4,Female,148,34.8,15.89,Overweight
10,Male,96,23.1,25.07,Overweight
8,Female,108,29.5,25.29,Overweight
8,Female,147,43.0,19.9,Overweight
6,Male,149,28.5,12.84,Overweight
8,Female,115,22.3,16.86,Overweight
10,Female,142,29.7,14.73,Overweight
5,Male,100,24.0,24.0,Overweight
10,Female,122,30.0,20.16,Overweight
3,Male,106,22.1,19.67,Overweight
3,Male,113,31.6,24.75,Overweight
8,Female,143,33.5,16.38,Overweight
8,Female,103,20.2,19.04,Overweight
5,Male,148,36.7,16.75,Overweight
3,Female,95,27.9,30.91,Overweight
9,Female,116,31.4,23.34,Overweight
10,Female,115,34.4,26.01,Overweight
5,Female,102,26.9,25.86,Overweight
4,Male,120,30.5,21.18,Overweight
3,Female,119,33.2,23.44,Overweight
3,Male,97,21.8,23.17,Overweight
8,Female,144,27.4,13.21,Overweight
12,Male,103,26.7,25.17,Overweight
6,Male,115,25.9,19.58,Overweight
4,Female,138,36.0,18.9,Overweight
4,Male,145,39.9,18.98,Overweight
12,Female,137,34.2,18.22,Overweight
9,Female,109,25.9,21.8,Overweight
12,Female,103,20.8,19.61,Overweight
5,Female,123,36.6,24.19,Overweight
5,Female,145,34.0,16.17,Overweight
7,Male,110,26.7,22.07,Overweight
3,Female,130,33.7,19.94,Overweight
10,Female,101,20.2,19.8,Overweight
4,Male,139,32.1,16.61,Overweight
6,Male,147,43.3,20.04,Overweight
12,Male,95,20.5,22.71,Overweight
12,Male,101,20.6,20.19,Overweight
12,Male,133,27.7,15.66,Overweight
3,Male,128,36.1,22.03,Overweight
4,Female,97,21.4,22.74,Overweight
7,Female,133,27.6,15.6,Overweight
8,Male,96,22.7,24.63,Overweight
9,Female,131,30.1,17.54,Overweight
7,Female,114,32.3,24.85,Overweight
12,Male,97,26.7,28.38,Overweight
3,Male,119,31.8,22.46,Overweight
4,Male,137,38.1,20.3,Overweight
6,Male,120,30.2,20.97,Overweight
8,Female,104,30.5,28.2,Overweight
8,Female,126,34.0,21.42,Overweight
11,Female,139,39.0,20.19,Overweight
3,Female,97,22.9,24.34,Overweight
12,Male,138,29.1,15.28,Overweight
7,Male,138,40.1,21.06,Overweight
12,Male,97,25.5,27.1,Overweight
12,Female,141,38.7,19.47,Overweight
4,Female,131,26.2,15.27,Overweight
11,Female,142,28.9,14.33,Overweight
7,Female,99,25.1,25.61,Overweight
5,Female,139,28.4,14.7,Overweight
5,Male,109,22.0,18.52,Overweight
9,Female,139,27.1,14.03,Overweight
10,Male,117,33.4,24.4,Overweight
12,Male,96,21.9,23.76,Overweight
10,Female,98,19.2,19.99,Overweight
10,Male,106,23.2,20.65,Overweight
8,Male,133,32.4,18.32,Overweight
12,Male,105,30.2,27.39,Overweight
12,Female,135,32.6,17.89,Overweight
11,Male,142,34.5,17.11,Overweight
3,Male,103,27.7,26.11,Overweight
3,Female,148,29.8,13.6,Overweight
8,Male,124,30.6,19.9,Overweight
7,Male,102,19.7,18.94,Overweight
10,Male,145,30.4,14.46,Overweight
3,Female,129,36.5,21.93,Overweight
